ons_id,constituency_name,region_name,constituency_type,first_party,second_party,electorate,valid_votes,majority,con,lab,ld,brexit,green,snp,pc,dup,sf,sdlp,uup,alliance,other,other_winner
E14000799,Ludlow,West Midlands,County,Con,LD,69444,50225,23648,32185,7591,8537,0,1912,0,0,0,0,0,0,0,0,0
E14000800,Luton North,East,Borough,Lab,Con,68185,42589,9247,14249,23496,2063,1215,771,0,0,0,0,0,0,0,795,0
E14000801,Luton South,East,Borough,Lab,Con,69338,42064,8756,13031,21787,0,1601,995,0,0,0,0,0,0,0,4650,0
E14000802,Macclesfield,North West,County,Con,Lab,76216,53867,10711,28292,17581,5684,0,2310,0,0,0,0,0,0,0,0,0
E14000803,Maidenhead,South East,County,Con,LD,76668,56492,18846,32620,7882,13774,0,2216,0,0,0,0,0,0,0,0,0
E14000804,Maidstone and The Weald,South East,County,Con,Lab,76109,51680,21772,31220,9448,8482,0,2172,0,0,0,0,0,0,0,358,0
E14000805,Makerfield,North West,County,Lab,Con,74190,44259,4740,15214,19954,2108,5817,1166,0,0,0,0,0,0,0,0,0
E14000806,Maldon,East,County,Con,Lab,72438,50408,30041,36304,6263,5990,0,1851,0,0,0,0,0,0,0,0,0
E14000807,Manchester Central,North West,Borough,Lab,Con,92247,52289,29089,7734,36823,3420,2335,1870,0,0,0,0,0,0,0,107,0
E14000808,"Manchester, Gorton",North West,Borough,Lab,Con,76419,44545,30339,4244,34583,2448,1573,1697,0,0,0,0,0,0,0,0,0
E14000809,"Manchester, Withington",North West,Borough,Lab,LD,76530,52995,27905,5820,35902,7997,1308,1968,0,0,0,0,0,0,0,0,0
E14000810,Mansfield,East Midlands,County,Con,Lab,77131,49273,16306,31484,15178,1626,0,0,0,0,0,0,0,0,0,985,0
E14000811,Meon Valley,South East,County,Con,LD,75737,54829,23555,35271,5644,11716,0,2198,0,0,0,0,0,0,0,0,0
E14000812,Meriden,West Midlands,County,Con,Lab,85368,54161,22836,34358,11522,5614,0,2667,0,0,0,0,0,0,0,0,0
W07000071,Merthyr Tydfil and Rhymney,Wales,County,Lab,Con,56322,32246,10606,6307,16913,1116,3604,0,0,2446,0,0,0,0,0,1860,0
E14000813,Mid Bedfordshire,East,County,Con,Lab,87795,64717,24664,38692,14028,8171,0,2478,0,0,0,0,0,0,0,1348,0
E14000814,Mid Derbyshire,East Midlands,County,Con,Lab,67442,49356,15385,29027,13642,4756,0,1931,0,0,0,0,0,0,0,0,0
E14000819,Middlesbrough,North East,Borough,Lab,Con,60764,34097,8395,8812,17207,816,2168,546,0,0,0,0,0,0,0,4548,0
E14000820,Middlesbrough South and East Cleveland,North East,County,Con,Lab,72348,47817,11626,28135,16509,1953,0,1220,0,0,0,0,0,0,0,0,0
E14000815,Mid Dorset and North Poole,South West,County,Con,LD,65427,48930,14898,29548,3402,14650,0,1330,0,0,0,0,0,0,0,0,0
S14000045,Midlothian,Scotland,County,SNP,Lab,70544,48221,5705,10467,14328,3393,0,0,20033,0,0,0,0,0,0,0,0
E14000816,Mid Norfolk,East,County,Con,Lab,82203,56186,22594,35051,12457,7739,0,0,0,0,0,0,0,0,0,939,0
E14000817,Mid Sussex,South East,County,Con,LD,85146,62762,18197,33455,11218,15258,0,2234,0,0,0,0,0,0,0,597,0
N06000010,Mid Ulster,Northern Ireland,County,SF,DUP,70449,44620,9537,0,0,0,0,0,0,0,10936,20473,6384,2611,3526,690,0
E14000818,Mid Worcestershire,West Midlands,County,Con,Lab,78220,56123,28018,37426,9408,6474,0,2177,0,0,0,0,0,0,0,638,0
E14000821,Milton Keynes North,South East,County,Con,Lab,91545,62543,6255,30938,24683,4991,0,1931,0,0,0,0,0,0,0,0,0
E14000822,Milton Keynes South,South East,Borough,Con,Lab,96363,64007,6944,32011,25067,4688,0,1495,0,0,0,0,0,0,0,746,0
E14000823,Mitcham and Morden,London,Borough,Lab,Con,70021,45741,16482,11482,27964,3717,1202,1160,0,0,0,0,0,0,0,216,0
E14000824,Mole Valley,South East,County,Con,LD,74665,57110,12041,31656,2965,19615,0,1874,0,0,0,0,0,0,0,1000,0
W07000054,Monmouth,Wales,County,Con,Lab,67098,50217,9982,26160,16178,4909,0,1353,0,1182,0,0,0,0,0,435,0
W07000063,Montgomeryshire,Wales,County,Con,LD,48997,34214,12138,20020,5585,7882,0,0,0,0,0,0,0,0,0,727,0
S14000046,Moray,Scotland,County,Con,SNP,71035,48825,513,22112,2432,2269,0,0,21599,0,0,0,0,0,0,413,0
E14000825,Morecambe and Lunesdale,North West,County,Con,Lab,67397,45310,6354,23925,17571,2328,0,938,0,0,0,0,0,0,0,548,0
E14000826,Morley and Outwood,Yorkshire and The Humber,County,Con,Lab,78803,51930,11267,29424,18157,2285,0,1107,0,0,0,0,0,0,0,957,0
S14000047,Motherwell and Wishaw,Scotland,Borough,SNP,Lab,68856,44420,6268,7150,14354,1675,0,0,20622,0,0,0,0,0,0,619,0
S14000027,Na h-Eileanan An Iar,Scotland,County,SNP,Lab,21106,14477,2438,3216,4093,637,0,0,6531,0,0,0,0,0,0,0,0
W07000069,Neath,Wales,County,Lab,Con,56419,36756,5637,10283,15920,1485,3184,728,0,4495,0,0,0,0,0,661,0
